Date,Close
3/2/2015,39.47
3/3/2015,39.91
3/4/2015,40.49
3/5/2015,40.13
3/6/2015,38.78
3/9/2015,38.18
3/10/2015,38.06
3/11/2015,38.75
3/12/2015,38.21
3/13/2015,37.74
3/16/2015,39.14
3/17/2015,38.95
3/18/2015,40.14
3/19/2015,39.13
3/20/2015,39.62
3/23/2015,39.93
3/24/2015,40.34
3/25/2015,38.86
3/26/2015,38.08
3/27/2015,37
3/30/2015,38.11
3/31/2015,37.75
4/1/2015,37.52
4/2/2015,38.2
4/6/2015,40.62
4/7/2015,40.65
4/8/2015,41.53
4/9/2015,42.02
4/10/2015,42.18
4/13/2015,41.96
4/14/2015,41.49
4/15/2015,41.57
4/16/2015,41.34
4/17/2015,41.36
4/20/2015,41.05
4/21/2015,41.88
4/22/2015,43.89
4/23/2015,43.72
4/24/2015,43.69
4/27/2015,46.31
4/28/2015,46.1
4/29/2015,46.49
4/30/2015,45.21
5/1/2015,45.21
5/4/2015,46.1
5/5/2015,46.59
5/6/2015,46.09
5/7/2015,47.36
5/8/2015,47.32
5/11/2015,47.9
5/12/2015,48.95
5/13/2015,48.64
5/14/2015,48.82
5/15/2015,49.77
5/18/2015,49.75
5/19/2015,49.43
5/20/2015,48.87
5/21/2015,49.12
5/22/2015,49.55
5/26/2015,49.49
5/27/2015,49.49
5/28/2015,50.29
5/29/2015,50.16
6/1/2015,49.89
6/2/2015,49.67
6/3/2015,49.8
6/4/2015,49.18
6/5/2015,49.83
6/8/2015,51.26
6/9/2015,51.2
6/10/2015,50.14
6/11/2015,50.28
6/12/2015,50.14
6/15/2015,50.08
6/16/2015,50.62
6/17/2015,52.08
6/18/2015,52.38
6/19/2015,52.5
6/22/2015,51.96
6/23/2015,53.53
6/24/2015,53.03
6/25/2015,53.76
6/26/2015,53.42
6/29/2015,52.4
6/30/2015,53.65
7/1/2015,53.83
7/2/2015,56
7/6/2015,55.94
7/7/2015,53.58
7/8/2015,50.99
7/9/2015,51.58
7/10/2015,51.83
7/13/2015,52.43
7/14/2015,53.13
7/15/2015,52.63
7/16/2015,53.34
7/17/2015,54.93
7/20/2015,56.45
7/21/2015,53.35
7/22/2015,53.57
7/23/2015,53.44
7/24/2015,53.08
7/27/2015,50.6
7/28/2015,52.96
7/29/2015,52.76
7/30/2015,53.36
7/31/2015,53.23
8/3/2015,52
8/4/2015,53.26
8/5/2015,54.03
8/6/2015,49.23
8/7/2015,48.5
8/10/2015,48.23
8/11/2015,47.47
8/12/2015,47.63
8/13/2015,48.5
8/14/2015,48.63
8/17/2015,51
8/18/2015,52.14
8/19/2015,51.05
8/20/2015,48.44
8/21/2015,46.15
8/24/2015,43.77
8/25/2015,44.01
8/26/2015,44.97
8/27/2015,48.6
8/28/2015,49.7
8/31/2015,49.81
9/1/2015,47.73
9/2/2015,49.54
9/3/2015,49.11
9/4/2015,48.39
9/8/2015,49.63
9/9/2015,49.78
9/10/2015,49.7
9/11/2015,50.05
9/14/2015,50.64
9/15/2015,50.71
9/16/2015,52.45
9/17/2015,52.41
9/18/2015,52.12
9/21/2015,52.84
9/22/2015,52.19
9/23/2015,52.21
9/24/2015,52.62
9/25/2015,51.38
9/28/2015,49.69
9/29/2015,49.33
9/30/2015,49.68
10/1/2015,47.98
10/2/2015,49.51
10/5/2015,49.23
10/6/2015,48.29
10/7/2015,46.39
10/8/2015,45.34
10/9/2015,44.14
10/12/2015,43.12
10/13/2015,43.85
10/14/2015,43.38
10/15/2015,44.26
10/16/2015,45.4
10/19/2015,45.62
10/20/2015,42.61
10/21/2015,42.02
10/22/2015,42.34
10/23/2015,41.82
10/26/2015,43.05
10/27/2015,42.07
10/28/2015,42.59
10/29/2015,42.33
10/30/2015,41.39
11/2/2015,42.76
11/3/2015,41.67
11/4/2015,46.33
11/5/2015,46.35
11/6/2015,46.47
11/9/2015,45.07
11/10/2015,43.3
11/11/2015,43.82
11/12/2015,42.59
11/13/2015,41.44
11/16/2015,42.86
11/17/2015,42.8
11/18/2015,44.21
11/19/2015,44.36
11/20/2015,44
11/23/2015,43.55
11/24/2015,43.65
11/25/2015,45.93
11/27/2015,46.32
11/30/2015,46.05
12/1/2015,47.44
12/2/2015,46.4
12/3/2015,46.54
12/4/2015,46.08
12/7/2015,46.23
12/8/2015,45.34
